Date,Upvotes,Summarizations,Downvotes,Gleanbot Interactions,Chat Messages,AI Answers
2025-11-13,28,368,1,24,727,250
2025-11-14,28,371,1,28,711,221
2025-11-15,3,302,0,3,31,15
2025-11-16,0,310,0,0,20,18
2025-11-17,22,379,0,22,707,260
2025-11-18,47,377,0,41,739,260
2025-11-19,57,370,0,57,859,176
2025-11-20,45,365,0,43,742,173
2025-11-21,52,337,1,52,727,153
2025-11-22,0,278,0,0,27,9
2025-11-23,1,261,0,1,70,5
2025-11-24,52,323,0,50,909,170
2025-11-25,39,318,0,38,848,236
2025-11-26,62,282,2,61,859,184
2025-11-27,66,181,0,65,633,181
2025-11-28,35,144,0,34,404,85
2025-11-29,0,75,0,0,23,8
2025-11-30,0,68,0,0,47,13
2025-12-01,21,156,2,18,774,236
2025-12-02,82,78,1,77,927,219
2025-12-03,54,72,2,50,986,215
2025-12-04,57,71,2,57,934,288
2025-12-05,48,75,0,47,741,199
2025-12-06,0,0,0,0,23,12
2025-12-07,3,4,0,3,37,22
2025-12-08,60,72,0,58,655,158
2025-12-09,59,71,0,57,991,210
2025-12-10,54,70,0,53,975,294
2025-12-11,51,77,2,47,853,255
2025-12-12,52,69,0,52,700,210
2025-12-13,4,0,0,4,43,15
2025-12-14,0,1,0,0,62,22
2025-12-15,94,71,0,94,867,228
2025-12-16,120,82,0,119,1112,214
2025-12-17,79,82,2,77,928,201
2025-12-18,108,73,1,105,962,286
2025-12-19,6,67,0,3,871,164
2025-12-20,0,0,0,0,48,6
2025-12-21,0,4,0,0,24,7
2025-12-22,9,76,0,5,890,249
2025-12-23,2,69,0,1,894,117
2025-12-24,3,70,0,0,332,67
2025-12-25,0,62,0,0,9,3
2025-12-26,0,60,0,0,43,7
2025-12-27,0,0,0,0,3,1
2025-12-28,0,1,0,0,20,2
2025-12-29,1,69,0,1,578,80
2025-12-30,2,68,0,1,423,61
2025-12-31,2,69,0,1,256,60
2026-01-01,0,61,0,0,19,1
2026-01-02,0,68,1,0,413,83
2026-01-03,0,0,0,0,12,2
2026-01-04,0,1,0,0,44,6
2026-01-05,1,65,0,1,752,218
2026-01-06,3,64,2,0,779,143
2026-01-07,9,83,2,5,999,208
2026-01-08,4,72,0,3,1195,202
2026-01-09,2,84,1,1,1020,176
2026-01-10,1,1,0,0,73,16
2026-01-11,0,5,0,0,75,21
2026-01-12,5,89,0,2,1286,205
2026-01-13,3,84,0,3,1401,220
2026-01-14,4,87,0,3,1501,171
2026-01-15,4,82,0,3,1495,202
2026-01-16,5,72,0,4,1283,170
2026-01-17,0,0,0,0,82,12
2026-01-18,0,2,0,0,86,1
2026-01-19,1,70,0,0,858,93
2026-01-20,1,68,0,1,805,98
2026-01-21,3,75,0,2,1046,109
2026-01-22,5,77,0,4,1122,146
2026-01-23,2,67,0,1,994,94
2026-01-24,0,0,0,0,52,20
2026-01-25,0,4,0,0,116,6
2026-01-26,2,75,0,1,1529,135
2026-01-27,5,75,0,4,1645,152
2026-01-28,7,67,1,2,1677,155
2026-01-29,3,74,0,2,1593,170
2026-01-30,2,68,1,2,1393,165
2026-01-31,1,0,0,1,44,6
2026-02-01,3,4,0,2,105,5
2026-02-02,6,74,0,5,1375,182
2026-02-03,12,70,1,11,1773,171
2026-02-04,3,70,0,3,2047,195
2026-02-05,6,66,0,4,1868,202
2026-02-06,85,71,0,85,1457,165
2026-02-07,0,0,0,0,41,9
2026-02-08,3,3,0,3,95,8
2026-02-09,85,73,0,83,1888,160
2026-02-10,69,67,0,68,1942,166
2026-02-11,86,71,0,81,2276,170
